text,L1
Drinking and driving is a serious offense.,Arabic
I will drink my coffee,Chinese
"Yes I do. If don't make a plan, I will not sent my free time well. So If I have some free time, I usually make some plan.",Korean
"yes,because there are many communications between the earth and other planets.",Arabic
The weather of Pittsburgh is similar to my home town.,Korean
"How to Make Scrambled Eggs

 Scrambled eggs are a quick and easy light meal. You need two fresh eggs, milk, butter, salt and pepper. You also need a mixing bowl, a tablespoon, a fork and a frying pan. First, break the eggs into the bowl. Then add about three tablespoons of milk, the salt and the pepper. Beat the mixture with a fork until it is well mixed. Next, melt a small piece of butter in the frying pan over low heat. Pour the egg mixture into the pan and let it heat through. Then turn up the heat slightly. As the eggs cook, push them around gently with the fork. When the scrambled eggs are done to perfection, they should be light and fluffy. In just a few minutes you can sit down and enjoy your delicious meal.",Arabic
"Hi ANON_NAME_0,

Today is Friday, it's very warm and nice.
Do you go to the baseball game this Sunday? We are excited in this program.
Hope you have a nice weekend.",Chinese
stinky tofu,Chinese
  The synonym for 'to transform' is 'change'.,Arabic
I often go to bed at 12:00p.m.,Korean
" The ELI is a good please for study foreign language. They are a lot of student in the ELI. First, there are students of different country .All the student like ELI, because it's has a lot of activities there. Second the ELI has a good system to learn English Language. Then, I asked same student of different country about ELI. In this semester it has forty percent student from Korea. After that 66.67 percent there are have five courses very days in this semester but 14.67 percent they are have one courses .In addition its have 37 percent female from different country but the male more then female. I thing this is a great way to make a lot of friends here in US. Next, I asked same student first, ANON_NAME_0 Al mesver said,"" because I found appropriate for ELI there are provisional teacher and this institute in ELI is close to academic life, and I want to get excepts from University of Pittsburgh."" There are a lot of student from Saudi Arabia and Libya. However, the ELI a good place to study any language. Second ANON_NAME_0 Al Eysa said, ""The ELI good place to learn English also there are have strong system and staple program ,and the teacher is good to give the student a good ways to learn English here."" This year it has huge student in ELI. Third Javier ANON_NAME_1 said, ""The ELI is center the many culture and the teachers are special in language."" Then, the ELI is old building in Pittsburgh. Finally, the ELI is patter place to learn any language .Also the program in ELI is so good. I think the ELI has a good way or rule for student. All the teacher the same .The ELI has a good adviser likes ANON_NAME_2 and Petcy. If any students have any problem the adviser ELI helps him or her. Also ""the ANON_NAME_3 helps the student for fun."" Yvonne said.",Arabic
In Monday I have reading test. I hope my solves precise to solves my teacher.,Arabic
" 
 recently, i have rented new small apartement. It has nice area and great

 locaiton. Also, my neighbor is cheerful person because she always smiles to

 me. Everyday in morning, i talk to her quickly. She returns late from her

 jop. I think she has busy time. ",Arabic
" I have a favorite hobby that is playing soccer every Sunday morning. There are several have to do something before to play soccer. First, some people equip oneself some material that people need to play soccer. For example, there are ball, uniform, first aid box and water. Then, go to a stadium where you'll play soccer. When people arrive at the stadium, do enough to warming up all together. It is the important thing to prevent injury. After that, divide team into two parts. Finally, enjoy the game. If they keep well, I really think that playing soccer is the best hobby of many exercise hobbys to men. ",Korean
" Jobs I would be good at
 I would be good at a job working with people, with details, and with numbers. These processes improve my skills. While I did a different work, I did well my role. I challenged problems and I was capable of doing more things.
 First, I was working with people. I like to contact with people. For example, I was a restaurant waiteress. My works are table service and dished the food. I contacted with people each day. While the customers complain the dishes or the service, I tried to pacify the customers. I gave a good service to the customers. Such I was a secretary in the internet company. I worked with my boss all day. The emphasis is on take care of the boss. I have to control my emotions. I did not want to influence my boss. For instance, when I was an accountant, I have to contact with customers and government organizations.
 Second, I was working with details. For example, while I was a waiteress, I had good memories. I remembered the price and what consist of the dish and how many dishes they ordered. For instance, I usually detail to my boss when I was a secretary. I gave my boss available information and assisted him to contact with customers. While I worked in accounting firm, I analyzed the best way to save tax to the customers. I reported the income statement to customers.
 Third, I was working with numbers. For example, I should account for the customers before they left the restaurant. For instance, I was accounting income tax to government for the customers. Accounting tax should be carefully because the tax is for government and it is important. 
 Whether I do any works, I have to do my best and pay patience for work. Let the boss knows that I am of great worth.
",Chinese
The last thing that I purchased was shaved machine.I selected it because I will use it to shave my beard and it is really good price .,Arabic
"
I am from Saudi Arabia. Riyadh, capital city of Saudi Arabia, is the most expensive city in my country. Jeddah is the least interesting city in my country. Dammam is the least boring city in my country. Riyadh is the cleanest city in my country. Also, Riyadh is the most exciting, and beautiful city in my country. Makkah and Medina are the oldest cities in my country
",Arabic
" Simo is from Morocco. He said,""Morocco has lots of different geographical features and a variety of custom."" There are coastal areas on the Pacific and Mediterranean Ocean. There is located near Spain in North Africa. My country weather was beautiful and warm. There are lots of Rivers and Mountains with around cities. He said,""My country custom has remained in the traditional cloth of Morocco."" They wore that on celebrate day. ""Men and women wore Jelaba and Caftan for a wedding,a banquet,and a festival,""Simo said me.",Korean
"Learn a language.
See the world in a new way.
Learn more about yourself.
Many companies today want employees who speak a second language; or have experienced living or working in another country.
Learn about another culture.
I come here because I want to study a language.
And I want to complete my studying.",Arabic
"My sister and I have traveled to European for two weeks in 2006.We went to French, Germany and Belgian. The main transportation for us is train and also got a lot of information in train station. My favorite place is Strasburg which have the natural scenery and old architecture that makes it looks like paradise.",Chinese
It makes no sense in context.,Korean
"There is an old maxim that don't count your chickens before they hatch, but i disagree. When I was a child, I always was told that don't bother other people and you should act with prudence by my father, so I tried to be discreet in my behavior. However, an act in prudence wasn't always a good thing for me, despite a lot of merit. 
Above all, sometimes I was so prudent that I speculate only negative results, I used to miss opportunities. 10 yeas ago, when I was working part-time job for interludes for getting back to my university after being released from the army. At that time, online clubs prevails among university undergraduates in Korea. I joined a club is named Myodong which means association of people who birth in 1975 as Year Of The Rabbit, the rabbit is one of the 12 oriental zodiac animals, and I used to read funny or serious own stories that members write. Then, I presented a regular meetings in a pub and there I met a woman that falls in love at first sight. She was looking very dashing in a white two-piece and she looked strikingly gorgeous at that time. Later I found that the woman who I have talked with before at online and we continued to have a online chatting. However, I was supposed not to be with her, despite her words that I was similar with her first love. At that time, I thought that she had to meet someone better than me because she was too perfect in every way, and I tried not to see her. Then, I didn't go to the club anymore and I have to let her go, but I regret to have done such a thing then.
To summarize, it is dangerous to do nothing, but what is more dangerous is to dream nothing. Nothing happens unless first a dream.
",Korean
"my best day 

I had a fabulous day yesterday. First, I woke up at 7:00 A.M. then I got prepared to go to school. After that, I heard someone knocking on the door, when I opened I found my family in front of me. Next, I was shocked because I didn't know that they were coming from my country to see me. Then I told them to come in, and I made for them a very nice food. They liked it very much. Finally, I took them to show them Pittsburgh downtown. That's why that was the best day in my life.",Arabic
"Tom said,""I missed the bus this morning.""",Chinese
"Yes, I have tried a lot ABNORMAL foods because I like to CHALLENGE myself by trying new things. ",Chinese
"It is short and faint.
My personality are very decisive, often messy but very creative.",Korean
" When I came to school, I saw the buses.
The bus driver drove very fast.",Korean
"For me, less waste production is contributing to the environment.",Chinese
"Sara was my best friend in USA. Best friends are a very important role of life.We are growing together,so Sara knew everthing about me. Sara was like share happiness and sadness with me. Sara is very smart.When she got NYU schoolship,she told me firstly.Actually,our parents always said we are looks like a twins. Sometimes when i met trobule about study,in which she always give a good ideal for me. On week, Sara and i like do exercise.Such as,yoga and swimming.All in all, Sara is a important friend during my daily life.",Chinese
"""I don't know,"" responded Tom, ""I guess I overslept.""",Korean
"She uses that send e-mail,play games,and take notes.I think that is laptop.",Korean
"1. I like adventure.
2. I am adventrous.
3. My car ancient.
4. He is calm.
5. the connected is very important.
6. I like calm character.
7. the describe is very critical in the life.
8. indfpendent my country is very important.
9. He is selfish.
10. She is serious.",Arabic
"Otc.16.2006
Dear Mom,
 I need a new computer , my computer is too old to use it . You know my computer , i used it for five years , now it's too old . When i use it to work , it always let me become upset . Can you buy a new computer for me ? I think i want to own an ipod computer . You know that , many students use it in American , it's easy and good for students . Yes , it price is a little high than other computers , but it's good for me . When i use it , i feel comfortable and relax . You know that , like HP and SONY its are a little different from ipod . I like ipod , it's design so easy , they have black and white color for choice . I prefer white ipod more than black ipod . If you have time ,please order a computer on internet for me , thank you!
 love,
 ",Chinese
Octobor 1st.,Korean
It is legal to drink in the China at age 18 but illegal in the US.,Chinese
My roll is technician adviser in my family.,Arabic
I wake up at 6:30. I get in the bus 6 :55. then I go to swim at the Bellfield.,Korean
He is always very kind and hospitable to us.,Chinese
"Because her teacher says it is a good way for me to practice writing in English, and to write about my experiences here in the United States.",Arabic
"? LIST
@ SPORTS
1.Kinds of sports 
 -Soccer, baseball, golf, basketball, hockey 
2.Athletes
 -David Beckham, Tiger Woods, Wayne Gretzky, Babe Ruth, Kobe Bryant
3.Popularity of sports in various countries
 - America, Japan, Italy, France, Canada 
 

Sports have many categories like athletes, kinds of sports and popularity of sports in various countries. First, there are many kinds of sports like soccer, baseball, golf, basketball and hockey. Famous athletes were in various sports. Also many athletes are famous for their sport fields. David Beckham is very famous soccer player, and Tiger Woods is golf player Kobe Bryant is basketball player, Wayne Gretzky is hockey player. And then Babe Ruth is very famous baseball player. Other thing baseball is a sport that is especially enjoyed in America and Japan. Usually America enjoyed soccer, baseball, golf, basketball, hockey and baseball. Soccer is a sport that enjoyed in Italy and France. And Canada enjoyed hockey.
",Korean
"Yes,I am.I involved in improving our environment.For example, sometime I swept the leaves with my neighborhood. ",Chinese
"Last weekend, I checked my kitchen. I found I had a little rice, a few eggs and some honey. After that, I decided to go to the supermarket. I got a lot of bread, a great deal of rice and a lot of eggs. Next I went to the book section and I got several books. Finally, I went to the cashier. There were many people in the line.",Arabic
"Final draft

Personal letter
October 20, 2006 

Dear Dae ANON_NAME_0,

Recently, I want to buy a Honda Civic, but I am agonizing between a Honda Civic and a Hyundai Sonata. Of course, both car are excellent. However, a Civic and a Sonata are different in many ways. First, if I return to Korea, I should sell my car again. A Civic is easy for me to sell and I can save money because many Americans like Japanese cars, moreover. The car dealer said that a Civic is more expensive than a Sonata, but it is better than a Sonata. Second, I think Sonata is bigger than Civic, and if I buy sonata, I don't pay interest per month. My husband wants to buy Civic because it gets good mileage. He thinks the most important thing is the cost of maintenance. So we are thinking about buying a Civic. If you can call me, I want to hear your opinion. My phone number is same, so call me.

Warmly,
",Korean
"If you want a great party, you should follow these steps. First, decide what kind of party you want. There are many choices. For example, you can choose a table service party, cocktail party, standing buffet party, tea party, barbecue party, garden party, and so on. Second, make a list of guests to invite and shopping list. Then, invite your guests before your party day. You have to give enough time for guests answer because they need to check their schedules. Next, if you have a party at your house, you have to clean the house before guests come. Also, you have to buy some ingredients for the food. After that, prepare the food. Finally, set the table. Don't forget to make a final check.

In addition, before preparing a party, you have to consider many things. Here is some advice for your party. If you want a standing buffet party, you should prepare food that guests can eat easier. For example, finger-food is good. Also, if you want a tea party, you must take more care of the table setting like cups and napkins, than the food because the most important thing in the tea party is a good mood, not the food. In this case, you prepare simple food like tea and some cookies, cake or fruit. Also, there is some other advice. If you have a few guests, a dinner party is good, but if you have many guests, a standing buffet party is better than a dinner party. Also, if you have difficulty preparing, a potluck party is really good. The most important thing is that a host and guests enjoy time together. If you want to have a great time with friends and other people, throw a party. Greet guests with a smile and enjoy the meeting.",Korean
" With my personal experience I think pets are good friends in people's life. I had a cat named Mimi when I was young. I used to play with Mimi without my girl friends. I liked to do several things with Mimi. The first thing was I usually gave her food three times each day because she disliked others to take care her except me. The second, I walked with her around my backyard in the afternoon. She was great player in football. In addition, she was a good listener. For exemplar, when I was upset even though I didn't want to talk with anybody, she always sat beside to me and listened what I was complain. I thought that she was my best soul mate. Also, she was pregnant, then three kids were born. The fresh faces made me happy. Then, these three kids also played with me, especially they helped me open the book when I was ready to read. It was amazing that they loved reading. Finally, I want to say that pets are very kindly to human. ",Chinese
Tom utilizes some trash to make a beautiful art.,Chinese
"If you want to have a great party, you should fallow these steps. First, decide what kind of party you want. There are many choices. For example, you can choose that table service party, cocktail party, standing buffet party, tea party, barbecues party, garden party and so on. Second, have to make a list of guests invited and of shopping. Then, invite your guests before your party day. You have to give enough time guests for the answer because they need to check scheduals . Next, if you have a party at your house, you have to clean the house before guests come. Also, have to buy some ingredients for food. After that, prepare food. Finally, set the table. Don't forget to make a final check. 

In addition, before prepare a party, you have to consider about many things. There are some advises for your party. If you want standing buffet party, you should prepare food that guests can eat easier. For example, small size piece of food. Also, if you want a tea party, you more take care of the table setting like cups, than food because the most important thing in the tea party is a good mood, not food. You prepare tea and some cookie, cake or fruit. Also, there are other advices. If you have a few guests, dinner party is good, but if you have many guests, standing buffet party is the better than dinner party. Also, if you are difficult to prepare for a lot of food, potluck party is really good. The most important thing is that a host and guests are enjoy time together. If you want to have a great time with friends and other people, start a party. Greet guests with a smile and enjoy a party.
",Korean
"The first, I will read the definition and example sentence. Then, I will repeat it.",Chinese
can't,Chinese
"If you visit South Korea and when you meet people who are older than you had better not touch their heads with your hand. 
If you see elderly people while you are sitting on the bus, you should offer your seat to them. I think this is very important for you. Also when you dump trash you should buy standard plastic bag.
 Next you had better not quiver your leg when you eat food. And you ought to not cross when you are talking with old people.
While you are drinking alcohol with a man in front you and his glass is empty who you should fill up the glass. In addition when you fill the glass you should hold the bottle with both hands. This is our drinking culture.
Last of all you should get open mind that understand korean. ",Korean
"Lisa Concoy is a student.
Young Min is a interviewer.",Chinese
0218,Korean
"My life line is deep . 
My personality is energetic and competitive.",Chinese
"My favorite vacation area is osaka because I was iteresting in osaka
osaka was esting different culture food. ",Korean
I'll help them by anythings available to me. Encourage them to solution the problem.,Arabic
" Yes, I agree with him. I think sports can help people develop more independence because it empowers them to do more than beg for money on the streets. They become more dependence on them self. Socity visualization
will change to be more trust on them when they depenend on them self.",Arabic
My sister designs corporate logos.,Arabic
can,Chinese
"EX:To choose a good school , and tell my friend pick up me from airport, and goes to AIT applying to a VISA.",Chinese
"Saudi Arabia, Riyadh is the mosr crowded city in Saudi Arabia. Jeddah is the most multicultural city. Riyadh is the safest city. Riyadh is the least expensive city. Riyadh is the least exciting city.",Arabic
"Many differences in many things, for example in the food in social life. But i learning American culture because im sure that good for my life. ",Arabic
" Chengdu people are famous to the other places' people in China. Because there are many beautiful women and handsome men, and they are very enjoying life. For example, they all have hot pot in the four seasons. Hot pot is a style of eating food with a stove and a pan. Even in the burning hot summer, some of them have spicy hot pot very joyful! It is said that the spicy hot pots can enlarge your pores,it is good for your skin to sweat and eliminate poison. So they have very fine and healthy skin. Most of the women always put on jewelry and make-up. They are always smart. Most of them have flowers and plants in their house. They usually drink tea in the teahouse. They often get happiness in the farmers' in holidays. They also have the abundant and various amusing life. Such as cards, chess, karaoke and majong etc. The majong game needs four people making a group around the foursquare table. There are many rules in the game. You must have some anticipation in the game when you play it. These amusements are very popular in their lives. In Chengdu, you can see the chess, cards, and majong's games everywhere. There always have many people playing these games at ease! But it seems to them that the enjoying life is more important than their work. ",Chinese
When I heard that I said this is America where the world can learn the human's valus.,Arabic
I brush teeth before take a shower.,Korean
May I order a pizza?,Chinese
"The English Language Institute (ELI) at the University of Pittsburgh is a good place for foreign students to study English. First of all, the ELI provides many beneficial activities to the students and the number of activities has been increasing recently. The ELI students can naturally experience and learn American culture and language through these activities. Next, there are a lot of full-time students in the ELI. The status of student enrollment in courses shows that 66.67 percent of all ELI students are taking five courses this Fall semester. This means that there are many hard-working students in the ELI. In addition, 63 percent of all the ELI students this semester are male students. Male students are livelier than female students in class. Therefore, they contribute a lot to the good atmosphere of ELI classes. Moreover, the students in our class come from many different countries. According to the analysis of nationalities in the ELI, the students are from Brazil, Chile, China, Colombia, Japan, Korea, Libya, Saudi Arabia, Taiwan, Thailand, Tunisia, Turkey, the United States and other countries. Many different students from all over the world can make ELI classes more exciting. Most importantly, the ELI has a great teaching system for English as a Second Language (ESL). ANON_NAME_0, a current ELI student, said, ""I heard from some of my friends that the ELI is the best English Institute in Pittsburgh."" Another current ELI student, Javier ANON_NAME_1, adds, ""The ELI has strict rules about homework, quizzes and tests. I think it is a strength of the ELI."" The ELI is a good choice for foreign students to improve their English and a recommendable institute to other students. ",Korean
"My bedroom is good to be flexible, I can sleep in there, I can watch TV in there and I can eat in there.",Chinese
I used to live in saudia arabia.I king ANON_NAME_0 universitey.In thoes days i live in pittsburgh.I study at universitey of pittsburgh. ,Arabic
children are capable of walking around their first birthday,Arabic
"Noha loves almost everything in Pittsburgh such as baseball games, the parks, the rivers, and the public transportation.",Chinese
my writing class teacher name is DENIEL,Chinese
I won't buy a car before I earn enough money.,Chinese
"I lived in a small Island until 18years old.
When I was 6years old, I learned to play the piano. 
so after 2years, I could play the piano well.
Add I could read a sheet of music. But when I was 11years old, the piano institute was closed.
I couldn't learded about piano anymore. 
Nobody was in my village to teach me about piano.
After I didn't learn piano, I wan't able to play the piano.Because I didn't practice to play the piano by myself. So now I can't play the piano.
 ",Korean
It refers to the highly pungent odor.,Arabic
"
List:

1.similar bats 
2.similar gloves
3.similar rule of bases
4.similar defended position 
5.similar shoes
6.similar field


 Baseball and softball are very similar sports. First of all, they have much equipment in common. For instance, both baseball and softball can be hit by the same bat. Second, you can use the same glove to catch baseball and softball. In addition, you can wear the same shoes to play baseball and softball. In my country, we usually use the same field to play both. 

 However, if you play a game, both baseball and softball have similar rules of bases. Both of them have very similar defended positions. For example, both baseball and softball have a pitcher, a catcher, a first base, a second base, a third base and a short stop in the infield. They also have a left field, a center field and a right field in the outfield. But the softball has one more defended position.. The position is between with infield and outfield. We wouldn't fix the position. It is changeable according the condition of the game. Finally, both of them are my favorite sports.

",Chinese
father,Chinese
"This is the advice that I would give a new ELI student. First of all, you have to attend class everyday and submit homework on time. Second, you should meet English speakers and talk to them, because using English is the best way to learn English. Third, Take care of your health, because living in the U.S.A. is hard to you something to eat and missing your family. So you should take care of your health. Finally, you should meet many different country people. If you meet many different country people, you will learn various different country cultures.",Korean
"Oct 16, 2006-10-16
Dear Li,
 I moved into a new apartment recently. I changed my telephone number. My new telephone number is : 412-615-1072. Please call me if you are free.
 I told you that I want to buy a car last letter. Recently, I have discovered two different used cars. I like them both, but I will only buy one. One car was made in Japan (Nissan ,1998), and another car was made in Germany (Jetta 1995). I prefer to choose Jetta for three reasons. First, I think Jetta is safer than Nissan. I have often read some reports that said cars made in Germany were firmer than cars made in Japan. Taking a Germany car is more secure than taking a Japan car. Second, The Jetta is cheaper than the Nissan. Third, the miles that the Jetta has run is less than that of the Nissan. However, the Nissan is newer than the Jetta. Two cars engine both are very good. It's so hard to choose one. Could you give me some advice.
 Best regards
 ",Chinese
" The beach was beautiful .it was a lot of people enjoyed by the time in front of the beach. The children were play by sand. The beach is tremendous by the wind. The weather is spectacular in the beach. The weather didn't have sun in this time. The weather wasn't cold. I think will be raining as soon, because the weather was cloudy .The weather is beautiful .Also the beach. I like I'll go to the beach another time with my friends to enjoy with the weather.",Arabic
My memory isn't as good as it used to be . ,Arabic
"my topic there are many ELI teachers inside The Cathedral of Learning that help for Studying English in the ELI 

 there are many benefit for available ELI teachers inside The Cathedral of Learning first, that help for Studying English in the ELI second,how to speech with any body inside US.third,learning grammer. four,learning listening and make summary for story or movie.five,learning form the teachers how to develop myself for read big essay
",Arabic
Louis wain has a cat. His wife got breast cancer. And than he started drawing their cat for her. His wife suggested his painting to send to the newspaper publishing company. He love cat and he started drawing cat regular. He became a famous drawing cat. He draw variety cat's face. He draw many works until he died.,Korean
"I think, I'm energetic and talkative.",Korean
"I can make friends. 
I ",Korean
is d that is sold on the street.,Arabic
"
The U.S. is a culturally diverse nation.",Arabic
Now I can write an essay from more reading at any thing.,Arabic
"List:
Favorte sports ?baseball
Favorite team- Yankees
Favorite player- Chien Ming Wang
I also play soft ball 



I love many kinds of sports, especially baseball. For one thing, I loved to watch MLB games on the television when I was in Taiwan. My favorite team of MLB is New York Yankees. There are many famous players in the team. They also had a lot of histories such as they got 26 World Series championships since 1901 and had a great player who is Babe Ruth,etc... Another reason is that Chien Ming Wang is my favorite player who is a pitcher in Yankees. He won 38 wins in MLB in the past two years. He is one of the best pitchers in MLB during these years. I'll watch the game which is pitched by him when I finish this semester. Most importantly, I love to play softball which is like baseball. I usually play with my colleagues every Saturday in Taiwan. My defenses position is left field in our team. Playing softball and watching baseball game can get a lot of fun in my life.
",Chinese
" Living in a college dormitory has several advantages. The first advantage 

is near the school. For example, my college dormitory is in the school area, 

so I just need to walk to the school. The second advantage is very 

convenient. For instance, the dormitory has any furniture you need. You just 

need bring your own stuff. You can find everything you want near the school. 

You don't need to worry about the electricity, water, and internet bill. You 

can focus on your education. The third advantage is very safe. If you want 

you enter the dormitory, you need pass to the guard, and they will ask you to 

show some evidence to prove you live in the dormitory. To conclude, live in 

the college dormitory has a lot of good benefit for me because I don't need to 

worry other things, I just need focus on my study.",Chinese
"1.I took a course in ELI.
2.It is a long distance from Taiwan to Pittsburgh.
3.He doesn't enjoy going to school.
4.Do you enjoy your time?
5.Wait me for a moment.
6.Just a moment, she is coming.
7.she comes to work twice a week.
8.I want to improve my English in ELI.
9.My friend wrote a useful program.
10.Reading and writing are different skills.",Chinese
"  It is a good idea to raise and keep an animal that normally lives in the wild.  But we need to protect their lives environment first.  Too many species of animals are endangered, because human has disrespected them and lives environment.  Their lives are threatened and their habitats destroyed by pollution, construction and the invasion of too many people onto their homelands. In conclusion, we need to protect their lives than raise and keep an animal lives in the wild. ",Chinese
I get out of my bed when I turn the alarm off.,Arabic
There are two course,Chinese
am typping,Arabic
We don't need to vary our traditional food.,Chinese
"Adventurous, kind, friendly, careful, Smart ,calm, serious, selfish, independent, lazy.",Arabic
"Mother: Could you drive more carefully?
Friend: Sure.
Mother: Do you mind If I call you often?
Friend: No problem.",Korean
"Because - it was not clean or it was dirty.
 - to be good example to someone cleans and was done.",Arabic
"Yes, it is correct. I think it can help people to understand the country's culture, if they try new dishes when they travel to a different county",Chinese
Sure.,Chinese
"Relationship
Sentence: I under stand how difficult it must be to have a career like yours and a RELATIONSHIP as well.
Part of Speech: N
Definition: the connection between two or more people or groups and their involvement with each other.

Career
Sentence: I under stand how difficult it must be to have a CAREER like yours.
Part of Speech: N 
Definition: A job or occupation regarded as a long-term or lifelong activity.

Insist
Sentence: I was never very happy with that decision but Vic INSIST.
Part of Speech: V
Definition: to state or demand something firmly in spite of disagreement or resistance from others.

Suitable
Sentence: We no longer think that ANON_NAME_0 would be a SUITABLE.
Part of Speech: ADJ
Definition: The right type or quality for a particular purpose or occasion.

Irresponsible
Sentence: He is IRRESPONSIBLE to take care of children.
Part of Speech: ADJ
Definition: Not having or showing any care for the consequences of personal actions.

Wonder
Sentence: We were WONDERING if you would be…
Part of Speech: ADJ
Definition: Exciting admiration or amazement by virtue of being outstandingly good, effective, or unusual.
",Arabic
"The best restaurant in my hometown is korean restaurant. I like eat bulgogi and fresh vegetabel, miso soup.",Korean
"5. My favorite kind of movie is an action movie. First, if I was in no mood for doing anything, action movies helped me to change into a laughing mood. And, action movies had me imagine fantastic people. Next, action movies make me feel like action hero. Finally, when I had nothing to do, action movies used to spend time. For these reasons, my favorite kind of movie is an action movie.




5. My family is very important to me. First, my father taught me to how to live in present society. And, my mother was taken care of my health and my mind. Next, my older brother and older sister helped me to how to make a relation. Finally, my wife had me make the happiness.
For these reasons, my family is very important to me
",Korean
"I attend school regularly.
Spring follows winter.
Do you know modern fashions?
I share a room with my friend.
I'm training from my sister.
It's a valuable cellphone.
I discussed politics with then.",Korean
"The lottery seller told me that I won the first price. When I got this good news, suddenly, my respond without thinking was very surprised. But I'm worried about this news is good or not.",Chinese
"No, you can't. You can eat it after your dinner.",Chinese
the son and brother in my home,Chinese
When anyone enter in my house he or she should take off their shoes. people think shoes are not clean and they cannot pray in the house which a person enter in it with their shoes.,Arabic
The most important is how to fast know the article.,Korean
he couldn't,Arabic
" My name is [Student's First Name]. Was born in 1977. I used to live in Tripoli, Libya. I am married. I used to have two children. I used to teach Chemistry in Alfath University. I got Masters degree in Inorganic Chemistry.
 Now I am living in Pittsburgh. I have three children. These days I am studying English. I used to learn English in ELS school, but now I am a student in ELI School. After I finish studying English, I will study to get ph.D in Inorganic Chemistry. 
",Arabic
We can have a parade to present our opinion in our country and it is allowed by law.,Chinese
When I turn on my laptop and it has many processes until when I can use internet.,Korean
"There are many ways to serve stinky tofu.
",Chinese
"She never go to restaurants . she make meals with her roommates.She try to walk
or ride bicycle to college,and buy clothes
at second - hand stores .",Chinese
"                           Study  abroad 
      Many governments want to improve the people in the country. So they try
to send the student to other countries. We can find three advantages to study abroad learning a new language, knowing about new culture, and giving a good background about your country.
      The First, benefit to study out side the native country is learning a new languages. If someone want to study abroad he or she should be aware about second languages. For example, students who, come to the U.S. they  need to understand the English language.
     Second, it is incredible that eatch country has a vary culture. People are enjoyed there time while they are discovering the differences between the cultures. For instance, in arab culture they should entertainment of guests.
      Finally, the students are giving a good background about them country. 
Therefore, that is helpfull for next generation that will be coming after. Also, to have more visitors to them country.  
     To sum up, people who can afford form other countries are ver smart, and they can improve thier culture and them selves.",Arabic
If i have enough mouny I will give him some If no I apologize.,Arabic
" Jeff Bezos of ANON_URLSITE


 ANON_URLPAGE one of he first company to try to sell products online. Jeff Bezos started the company. He thought that people were going to shop online, so he quit his previous good job and went to Seattle to establish the company. At that time he had very little money. So, the company began in garage and in beginning, there were very few customers. People can search for books by subject and find many different books. Also, people can read the opinions of people about books. This was a new idea, and business grew up. In a few years, ANON_URLPAGE 10 million customers and sold 18 million different items including books, CDs, toys, electronics, videos, DVDs, home improvement products, software and Video games.
 ""Focus on one major goal, Enhance your brand image, Provide customers with a quality produce."" This is the philosophy of Mr. Jeff Bezos. I thought that I want to live focusing on one subject, seeing the wise saying.



",Korean
I finish homework,Chinese
"First of all,I got I-20.
Second,I took an appointment from U.S.A embassy. ",Arabic
The first place is the beach that is on the east coast.,Arabic
My apartment is clean. evry day I clean there.,Arabic
"1- What is your name?
2- What is your major?
3- Where were you born?
4- Where did you grow up?
5- What were your hobbies at childhood? 
6- What was your favorite child book?
7- When did you graduate from high school?
8- What is your favorite book?
9- What are your favorite sports?
10- Have you ever visited USA?
11- What countries did you visit last year?
",Arabic
We are going to have dinner,Korean
"I think American is individual, but in my country we do somethings with friends or parents.",Chinese
"There are four brothers in my Family. David is the oldest brother in my family. John is the richest son in my family. I am smarter than Sam, but Sam plays basketball better than me, John is as rich as David. Last, I am most handsome in my family.",Chinese
"In china there is difference between man and woman.If you are man, you can get married at 23,For woman its 21.I think its a little older for legal age .",Chinese
"advice: you have to active better now that you have hobby and meet many friend. 
I try to talk to others,write letter,call phone 
when i",Korean
"Before 50 years,women can not have a job at outside ,thay just do housework everyday.",Chinese
Taiwan .,Arabic
International.,Arabic
In my country they are a lot of most cities. Sabahiya is the most exciting cities. Salmya is the modernist place you can visit it. Al wafra is the least expensive in the Kuwait. Sharg is the most beautiful city it has the most international place in Kuwait. Fahaheel is the most crowded especially in the rush hour. ,Arabic
"I favorite restaurant is LuLu. I like to go there to eat food. I like their aroud and their food. There are many delicious food.Such as American food, Japanish food, Koria food,Chinese food,etc.Chinese food is my favorite food.For example,there are seafood Noodle and soup,I think it's taste is wonderful,it's color is beautiful,so i like it.",Chinese
English master is very difficult process.,Korean
" My friend has traveled many areas in the world. She has been a tour guide 

for a few years. Many people envy her work because she can travel a lot and has 

a good salary. She has been to Italy twice, and also has been to Japan and France 

many times. But she has never been to Rome. She has just returned from Japan 

with her families, and brought a lot of gifts for her friends. She has focused on 

studying English for 2 years, and she has contacted an American friend since 3 

months ago, which has improved her English. She has lived in Beijing since 2006, 

but she has always wants to move to Shanghai. She is an ambitious and good 

friend in my life.
",Chinese
"Not all same me. I think my personality is friendly,neat,talkative and carefully.",Korean
